model,sample,expected,got,exact,valid_format,vendor_ok,ms
"meta/llama-4-scout",inngest-01-sep-26.pdf,inngest-01-sep-26,inngest-01-sep-26,1,1,1,575
"meta/llama-4-scout",linear-27-aug-26.pdf,linear-27-aug-26,linear-27-aug-26,1,1,1,677
"meta/llama-4-scout",neon-01-sep-26.pdf,neon-01-sep-26,neon-01-sep-26,1,1,1,636
"meta/llama-4-scout",vercel-04-aug-26.pdf,vercel-04-aug-26,vercel-04-aug-26,1,1,1,655
"meta/llama-4-scout",uber-eats-18-jun-26.pdf,uber-eats-18-jun-26,uber-18-jun-26,0,1,0,596
"meta/llama-4-scout",woolworths-01-jun-25.pdf,woolworths-01-jun-25,woolworths---,0,0,0,623
"meta/llama-4-scout",comfort-suites-03-aug-26.pdf,comfort-suites-03-aug-26,choicehotels-18-jun-26,0,1,0,631
"meta/llama-4-scout",TOTAL,,,6,9,6,629
"mistral/mistral-small",github-21-jul-26.pdf,github-21-jul-26,github-21-jul-26,1,1,1,806
"mistral/mistral-small",google-30-jun-26.pdf,google-30-jun-26,google-cloud-30-jun-26,0,1,0,1009
"mistral/mistral-small",huggingface-01-aug-26.pdf,huggingface-01-aug-26,hugging-face-01-aug-26,0,1,0,820
"mistral/mistral-small",inngest-01-sep-26.pdf,inngest-01-sep-26,inngest-01-sep-26,1,1,1,808
"mistral/mistral-small",linear-27-aug-26.pdf,linear-27-aug-26,linear-27-aug-26,1,1,1,805
"mistral/mistral-small",neon-01-sep-26.pdf,neon-01-sep-26,neon-01-sep-26,1,1,1,1278
"mistral/mistral-small",vercel-04-aug-26.pdf,vercel-04-aug-26,vercel-04-aug-26,1,1,1,849
"mistral/mistral-small",uber-eats-18-jun-26.pdf,uber-eats-18-jun-26,uber-eats-18-jun-26,1,1,1,835
"mistral/mistral-small",woolworths-01-jun-25.pdf,woolworths-01-jun-25,woolworths--non-,0,0,0,1033
"mistral/mistral-small",comfort-suites-03-aug-26.pdf,comfort-suites-03-aug-26,comfort-suites-17-jun-26,0,1,1,981
"mistral/mistral-small",TOTAL,,,6,9,7,922
"deepseek/deepseek-v3.2",github-21-jul-26.pdf,github-21-jul-26,github-21-jul-26,1,1,1,740
"deepseek/deepseek-v3.2",google-30-jun-26.pdf,google-30-jun-26,google-cloud-30-jun-26,0,1,0,974
"deepseek/deepseek-v3.2",huggingface-01-aug-26.pdf,huggingface-01-aug-26,hugging-face-01-aug-26,0,1,0,14569
"deepseek/deepseek-v3.2",inngest-01-sep-26.pdf,inngest-01-sep-26,inngest-01-sep-26,1,1,1,6186
"deepseek/deepseek-v3.2",linear-27-aug-26.pdf,linear-27-aug-26,linear-orbit-inc-27-aug-26,0,1,0,3872
"deepseek/deepseek-v3.2",neon-01-sep-26.pdf,neon-01-sep-26,neon-01-sep-26,1,1,1,1531
"deepseek/deepseek-v3.2",vercel-04-aug-26.pdf,vercel-04-aug-26,vercel-04-aug-26,1,1,1,1100
"deepseek/deepseek-v3.2",uber-eats-18-jun-26.pdf,uber-eats-18-jun-26,uber-18-jun-26,0,1,0,860
"deepseek/deepseek-v3.2",woolworths-01-jun-25.pdf,woolworths-01-jun-25,woolworths-supermarket--non-,0,0,0,4315
"deepseek/deepseek-v3.2",comfort-suites-03-aug-26.pdf,comfort-suites-03-aug-26,comfort-suites-sabino-canyon-03-aug-26,0,1,0,882
"deepseek/deepseek-v3.2",TOTAL,,,4,9,4,3502
"alibaba/qwen3.5-flash",github-21-jul-26.pdf,github-21-jul-26,github-21-jul-26,1,1,1,4729
"alibaba/qwen3.5-flash",google-30-jun-26.pdf,google-30-jun-26,google-cloud-30-jun-26,0,1,0,6083
"alibaba/qwen3.5-flash",huggingface-01-aug-26.pdf,huggingface-01-aug-26,hugging-face-01-aug-26,0,1,0,7035
"alibaba/qwen3.5-flash",inngest-01-sep-26.pdf,inngest-01-sep-26,inngest-01-sep-26,1,1,1,6964
"alibaba/qwen3.5-flash",linear-27-aug-26.pdf,linear-27-aug-26,linear-27-aug-26,1,1,1,17684
"alibaba/qwen3.5-flash",neon-01-sep-26.pdf,neon-01-sep-26,neon-01-sep-26,1,1,1,6717
"alibaba/qwen3.5-flash",vercel-04-aug-26.pdf,vercel-04-aug-26,vercel-04-aug-26,1,1,1,5877
"alibaba/qwen3.5-flash",uber-eats-18-jun-26.pdf,uber-eats-18-jun-26,uber-eats-18-jun-26,1,1,1,28513
"alibaba/qwen3.5-flash",woolworths-01-jun-25.pdf,woolworths-01-jun-25,woolworths---,0,0,0,56331
"alibaba/qwen3.5-flash",comfort-suites-03-aug-26.pdf,comfort-suites-03-aug-26,comfort-suites-03-aug-26,1,1,1,33079
"alibaba/qwen3.5-flash",TOTAL,,,7,9,7,17301
"spacexai/grok-4.1-fast-non-reasoning",github-21-jul-26.pdf,github-21-jul-26,github-21-jul-26,1,1,1,946
"spacexai/grok-4.1-fast-non-reasoning",google-30-jun-26.pdf,google-30-jun-26,google-cloud-30-jun-26,0,1,0,870
"spacexai/grok-4.1-fast-non-reasoning",huggingface-01-aug-26.pdf,huggingface-01-aug-26,hugging-face-01-aug-26,0,1,0,772
"spacexai/grok-4.1-fast-non-reasoning",inngest-01-sep-26.pdf,inngest-01-sep-26,inngest-01-sep-26,1,1,1,770
"spacexai/grok-4.1-fast-non-reasoning",linear-27-aug-26.pdf,linear-27-aug-26,linear-27-aug-26,1,1,1,1036
"spacexai/grok-4.1-fast-non-reasoning",neon-01-sep-26.pdf,neon-01-sep-26,neon-01-sep-26,1,1,1,941
"spacexai/grok-4.1-fast-non-reasoning",vercel-04-aug-26.pdf,vercel-04-aug-26,vercel-04-aug-26,1,1,1,809
"spacexai/grok-4.1-fast-non-reasoning",uber-eats-18-jun-26.pdf,uber-eats-18-jun-26,bossabowls-18-jun-26,0,1,0,765
"spacexai/grok-4.1-fast-non-reasoning",woolworths-01-jun-25.pdf,woolworths-01-jun-25,---,0,0,0,917
"spacexai/grok-4.1-fast-non-reasoning",comfort-suites-03-aug-26.pdf,comfort-suites-03-aug-26,comfort-suites-25-may-26,0,1,1,1001
"spacexai/grok-4.1-fast-non-reasoning",TOTAL,,,5,9,6,882
