model,sample,expected,got,exact,valid_format,vendor_ok,ms,source
gemma4:latest,github-21-jul-26,github-21-jul-26,github-21-jul-26,1,1,1,8207,local
gemma4:latest,google-30-jun-26,google-30-jun-26,google-cloud-30-jun-26,0,1,0,1074,local
gemma4:latest,huggingface-01-aug-26,huggingface-01-aug-26,huggingface-01-aug-26,1,1,1,803,local
gemma4:latest,inngest-01-sep-26,inngest-01-sep-26,inngest-01-sep-26,1,1,1,735,local
gemma4:latest,linear-27-aug-26,linear-27-aug-26,linear-27-aug-26,1,1,1,829,local
gemma4:latest,neon-01-sep-26,neon-01-sep-26,neon-01-sep-26,1,1,1,940,local
gemma4:latest,vercel-04-aug-26,vercel-04-aug-26,vercel-04-aug-26,1,1,1,841,local
gemma4:latest,uber-eats-18-jun-26,uber-eats-18-jun-26,uber-eats-18-jun-26,1,1,1,1087,local
gemma4:latest,woolworths-01-jun-25,woolworths-01-jun-25,woolworths---,0,0,0,1934,local
gemma4:latest,comfort-suites-03-aug-26,comfort-suites-03-aug-26,comfort-suites-18-jun-26,0,1,1,3687,local
llama3.2:latest,github-21-jul-26,github-21-jul-26,github-21-jul-26,1,1,1,5968,local
llama3.2:latest,google-30-jun-26,google-30-jun-26,google-cloud-01-jun-26,0,1,0,487,local
llama3.2:latest,huggingface-01-aug-26,huggingface-01-aug-26,huggingface-01-aug-26,1,1,1,488,local
llama3.2:latest,inngest-01-sep-26,inngest-01-sep-26,inngest-01-sep-26,1,1,1,353,local
llama3.2:latest,linear-27-aug-26,linear-27-aug-26,linear-27-aug-26,1,1,1,452,local
llama3.2:latest,neon-01-sep-26,neon-01-sep-26,neon-01-sep-26,1,1,1,517,local
llama3.2:latest,vercel-04-aug-26,vercel-04-aug-26,vercel-04-aug-26,1,1,1,450,local
llama3.2:latest,uber-eats-18-jun-26,uber-eats-18-jun-26,uber-eats-18-jun-26,1,1,1,517,local
llama3.2:latest,woolworths-01-jun-25,woolworths-01-jun-25,woolworths-01-jan-22,0,1,1,799,local
llama3.2:latest,comfort-suites-03-aug-26,comfort-suites-03-aug-26,comfort-suites-at-sabino-canyon-08-jun-26,0,1,0,2115,local
deepseek-coder:latest,github-21-jul-26,github-21-jul-26,github-21-jul-26,1,1,1,2042,local
deepseek-coder:latest,google-30-jun-26,google-30-jun-26,google-cloud-30-jun-26,0,1,0,430,local
deepseek-coder:latest,huggingface-01-aug-26,huggingface-01-aug-26,github-01-aug-26,0,1,0,366,local
deepseek-coder:latest,inngest-01-sep-26,inngest-01-sep-26,inngest-01-sep-26,1,1,1,337,local
deepseek-coder:latest,linear-27-aug-26,linear-27-aug-26,linear-28-aug-26,0,1,1,411,local
deepseek-coder:latest,neon-01-sep-26,neon-01-sep-26,neon-01-sep-26,1,1,1,374,local
deepseek-coder:latest,vercel-04-aug-26,vercel-04-aug-26,vercel-04-aug-26,1,1,1,354,local
deepseek-coder:latest,uber-eats-18-jun-26,uber-eats-18-jun-26,uber-eats-18-jun-26,1,1,1,319,local
deepseek-coder:latest,woolworths-01-jun-25,woolworths-01-jun-25,woolworths-01-jan-22,0,1,1,528,local
deepseek-coder:latest,comfort-suites-03-aug-26,comfort-suites-03-aug-26,github-31-dec-26,0,1,0,1249,local
alibaba/qwen3.5-flash,github-21-jul-26,github-21-jul-26,github-21-jul-26,1,1,1,4200,gateway
alibaba/qwen3.5-flash,google-30-jun-26,google-30-jun-26,google-cloud-30-jun-26,0,1,0,17627,gateway
alibaba/qwen3.5-flash,huggingface-01-aug-26,huggingface-01-aug-26,hugging-face-01-aug-26,0,1,0,5292,gateway
alibaba/qwen3.5-flash,inngest-01-sep-26,inngest-01-sep-26,inngest-01-sep-26,1,1,1,7406,gateway
alibaba/qwen3.5-flash,linear-27-aug-26,linear-27-aug-26,linear-27-aug-26,1,1,1,15662,gateway
alibaba/qwen3.5-flash,neon-01-sep-26,neon-01-sep-26,neon-01-sep-26,1,1,1,5393,gateway
alibaba/qwen3.5-flash,vercel-04-aug-26,vercel-04-aug-26,vercel-04-aug-26,1,1,1,7387,gateway
alibaba/qwen3.5-flash,uber-eats-18-jun-26,uber-eats-18-jun-26,uber-eats-18-jun-26,1,1,1,11872,gateway
alibaba/qwen3.5-flash,woolworths-01-jun-25,woolworths-01-jun-25,woolworths---,0,0,0,48451,gateway
alibaba/qwen3.5-flash,comfort-suites-03-aug-26,comfort-suites-03-aug-26,comfort-suites-18-jun-26,0,1,1,40116,gateway
google/gemini-2.5-flash,github-21-jul-26,github-21-jul-26,github-21-jul-26,1,1,1,2651,gateway
google/gemini-2.5-flash,google-30-jun-26,google-30-jun-26,google-cloud-30-jun-26,0,1,0,3486,gateway
google/gemini-2.5-flash,huggingface-01-aug-26,huggingface-01-aug-26,huggingface-01-aug-26,1,1,1,2161,gateway
google/gemini-2.5-flash,inngest-01-sep-26,inngest-01-sep-26,inngest-01-sep-26,1,1,1,2414,gateway
google/gemini-2.5-flash,linear-27-aug-26,linear-27-aug-26,linear-27-aug-26,1,1,1,2549,gateway
google/gemini-2.5-flash,neon-01-sep-26,neon-01-sep-26,neon-01-sep-26,1,1,1,2410,gateway
google/gemini-2.5-flash,vercel-04-aug-26,vercel-04-aug-26,vercel-04-aug-26,1,1,1,2922,gateway
google/gemini-2.5-flash,uber-eats-18-jun-26,uber-eats-18-jun-26,uber-18-jun-26,0,1,0,3197,gateway
google/gemini-2.5-flash,woolworths-01-jun-25,woolworths-01-jun-25,woolworths---,0,0,0,3312,gateway
google/gemini-2.5-flash,comfort-suites-03-aug-26,comfort-suites-03-aug-26,comfort-suites-03-aug-26,1,1,1,5659,gateway
google/gemini-2.5-flash-lite,github-21-jul-26,github-21-jul-26,github-21-jul-26,1,1,1,1374,gateway
google/gemini-2.5-flash-lite,google-30-jun-26,google-30-jun-26,google-cloud-30-jun-26,0,1,0,1059,gateway
google/gemini-2.5-flash-lite,huggingface-01-aug-26,huggingface-01-aug-26,huggingface-01-aug-26,1,1,1,858,gateway
google/gemini-2.5-flash-lite,inngest-01-sep-26,inngest-01-sep-26,inngest-01-sep-26,1,1,1,867,gateway
google/gemini-2.5-flash-lite,linear-27-aug-26,linear-27-aug-26,linear-27-aug-26,1,1,1,1264,gateway
google/gemini-2.5-flash-lite,neon-01-sep-26,neon-01-sep-26,neon-01-sep-26,1,1,1,1235,gateway
google/gemini-2.5-flash-lite,vercel-04-aug-26,vercel-04-aug-26,vercel-04-aug-26,1,1,1,969,gateway
google/gemini-2.5-flash-lite,uber-eats-18-jun-26,uber-eats-18-jun-26,bossabowls-18-jun-26,0,1,0,850,gateway
google/gemini-2.5-flash-lite,woolworths-01-jun-25,woolworths-01-jun-25,woolworths-01-jan-23,0,1,1,1013,gateway
google/gemini-2.5-flash-lite,comfort-suites-03-aug-26,comfort-suites-03-aug-26,comfort-suites-at-sabino-canyon-18-jun-26,0,1,0,796,gateway
openai/gpt-4o-mini,github-21-jul-26,github-21-jul-26,github-21-jul-26,1,1,1,1137,gateway
openai/gpt-4o-mini,google-30-jun-26,google-30-jun-26,google-cloud-30-jun-26,0,1,0,1053,gateway
openai/gpt-4o-mini,huggingface-01-aug-26,huggingface-01-aug-26,huggingface-01-aug-26,1,1,1,1413,gateway
openai/gpt-4o-mini,inngest-01-sep-26,inngest-01-sep-26,inngest-01-sep-26,1,1,1,1470,gateway
openai/gpt-4o-mini,linear-27-aug-26,linear-27-aug-26,linear-27-aug-26,1,1,1,4207,gateway
openai/gpt-4o-mini,neon-01-sep-26,neon-01-sep-26,neon-01-sep-26,1,1,1,3350,gateway
openai/gpt-4o-mini,vercel-04-aug-26,vercel-04-aug-26,vercel-04-aug-26,1,1,1,1586,gateway
openai/gpt-4o-mini,uber-eats-18-jun-26,uber-eats-18-jun-26,uber-18-jun-26,0,1,0,1054,gateway
openai/gpt-4o-mini,woolworths-01-jun-25,woolworths-01-jun-25,woolworths-01-jan-23,0,1,1,1101,gateway
openai/gpt-4o-mini,comfort-suites-03-aug-26,comfort-suites-03-aug-26,comfort-suites-03-aug-26,1,1,1,1054,gateway
anthropic/claude-haiku-4.5,github-21-jul-26,github-21-jul-26,github-21-jul-26,1,1,1,946,gateway
anthropic/claude-haiku-4.5,google-30-jun-26,google-30-jun-26,google-cloud-30-jun-26,0,1,0,1259,gateway
anthropic/claude-haiku-4.5,huggingface-01-aug-26,huggingface-01-aug-26,huggingface-01-aug-26,1,1,1,1166,gateway
anthropic/claude-haiku-4.5,inngest-01-sep-26,inngest-01-sep-26,inngest-01-sep-26,1,1,1,1209,gateway
anthropic/claude-haiku-4.5,linear-27-aug-26,linear-27-aug-26,linear-27-aug-26,1,1,1,1205,gateway
anthropic/claude-haiku-4.5,neon-01-sep-26,neon-01-sep-26,neon-01-sep-26,1,1,1,1152,gateway
anthropic/claude-haiku-4.5,vercel-04-aug-26,vercel-04-aug-26,vercel-04-aug-26,1,1,1,1169,gateway
anthropic/claude-haiku-4.5,uber-eats-18-jun-26,uber-eats-18-jun-26,uber-eats-18-jun-26,1,1,1,1050,gateway
anthropic/claude-haiku-4.5,woolworths-01-jun-25,woolworths-01-jun-25,woolworths-01-jan-00,0,1,1,1803,gateway
anthropic/claude-haiku-4.5,comfort-suites-03-aug-26,comfort-suites-03-aug-26,comfort-suites-18-jun-26,0,1,1,1345,gateway
meta/llama-4-scout,github-21-jul-26,github-21-jul-26,github-21-jul-26,1,1,1,631,gateway
meta/llama-4-scout,google-30-jun-26,google-30-jun-26,google-30-jun-26,1,1,1,690,gateway
meta/llama-4-scout,huggingface-01-aug-26,huggingface-01-aug-26,huggingface-01-aug-26,1,1,1,593,gateway
meta/llama-4-scout,inngest-01-sep-26,inngest-01-sep-26,inngest-01-sep-26,1,1,1,539,gateway
meta/llama-4-scout,linear-27-aug-26,linear-27-aug-26,linear-27-aug-26,1,1,1,633,gateway
meta/llama-4-scout,neon-01-sep-26,neon-01-sep-26,neon-01-sep-26,1,1,1,581,gateway
meta/llama-4-scout,vercel-04-aug-26,vercel-04-aug-26,vercel-04-aug-26,1,1,1,648,gateway
meta/llama-4-scout,uber-eats-18-jun-26,uber-eats-18-jun-26,uber-eats-18-jun-26,1,1,1,568,gateway
meta/llama-4-scout,woolworths-01-jun-25,woolworths-01-jun-25,woolworths---,0,0,0,854,gateway
meta/llama-4-scout,comfort-suites-03-aug-26,comfort-suites-03-aug-26,comfortsuites-18-jun-26,0,1,0,909,gateway
mistral/mistral-small,github-21-jul-26,github-21-jul-26,github-21-jul-26,1,1,1,787,gateway
mistral/mistral-small,google-30-jun-26,google-30-jun-26,google-cloud-30-jun-26,0,1,0,789,gateway
mistral/mistral-small,huggingface-01-aug-26,huggingface-01-aug-26,huggingface-01-aug-26,1,1,1,816,gateway
mistral/mistral-small,inngest-01-sep-26,inngest-01-sep-26,inngest-01-sep-26,1,1,1,829,gateway
mistral/mistral-small,linear-27-aug-26,linear-27-aug-26,linear-27-aug-26,1,1,1,838,gateway
mistral/mistral-small,neon-01-sep-26,neon-01-sep-26,neon-01-sep-26,1,1,1,878,gateway
mistral/mistral-small,vercel-04-aug-26,vercel-04-aug-26,vercel-04-aug-26,1,1,1,862,gateway
mistral/mistral-small,uber-eats-18-jun-26,uber-eats-18-jun-26,uber-eats-18-jun-26,1,1,1,869,gateway
mistral/mistral-small,woolworths-01-jun-25,woolworths-01-jun-25,woolworths-01-jan-24,0,1,1,864,gateway
mistral/mistral-small,comfort-suites-03-aug-26,comfort-suites-03-aug-26,comfort-suites-18-jun-26,0,1,1,1080,gateway
spacexai/grok-4.1-fast-non-reasoning,github-21-jul-26,github-21-jul-26,github-21-jul-26,1,1,1,814,gateway
spacexai/grok-4.1-fast-non-reasoning,google-30-jun-26,google-30-jun-26,google-cloud-30-jun-26,0,1,0,694,gateway
spacexai/grok-4.1-fast-non-reasoning,huggingface-01-aug-26,huggingface-01-aug-26,huggingface-01-aug-26,1,1,1,719,gateway
spacexai/grok-4.1-fast-non-reasoning,inngest-01-sep-26,inngest-01-sep-26,inngest-01-sep-26,1,1,1,863,gateway
spacexai/grok-4.1-fast-non-reasoning,linear-27-aug-26,linear-27-aug-26,linear-27-aug-26,1,1,1,721,gateway
spacexai/grok-4.1-fast-non-reasoning,neon-01-sep-26,neon-01-sep-26,neon-01-sep-26,1,1,1,924,gateway
spacexai/grok-4.1-fast-non-reasoning,vercel-04-aug-26,vercel-04-aug-26,vercel-04-aug-26,1,1,1,928,gateway
spacexai/grok-4.1-fast-non-reasoning,uber-eats-18-jun-26,uber-eats-18-jun-26,uber-eats-18-jun-26,1,1,1,1072,gateway
spacexai/grok-4.1-fast-non-reasoning,woolworths-01-jun-25,woolworths-01-jun-25,prezzee---,0,0,0,924,gateway
spacexai/grok-4.1-fast-non-reasoning,comfort-suites-03-aug-26,comfort-suites-03-aug-26,comfort-suites-18-jun-26,0,1,1,920,gateway
openai/gpt-4o,github-21-jul-26,github-21-jul-26,github-21-jul-26,1,1,1,1342,gateway
openai/gpt-4o,google-30-jun-26,google-30-jun-26,google-cloud-30-jun-26,0,1,0,857,gateway
openai/gpt-4o,huggingface-01-aug-26,huggingface-01-aug-26,huggingface-01-aug-26,1,1,1,1479,gateway
openai/gpt-4o,inngest-01-sep-26,inngest-01-sep-26,inngest-01-sep-26,1,1,1,1325,gateway
openai/gpt-4o,linear-27-aug-26,linear-27-aug-26,linear-27-aug-26,1,1,1,1378,gateway
openai/gpt-4o,neon-01-sep-26,neon-01-sep-26,neon-01-sep-26,1,1,1,1143,gateway
openai/gpt-4o,vercel-04-aug-26,vercel-04-aug-26,vercel-04-aug-26,1,1,1,1511,gateway
openai/gpt-4o,uber-eats-18-jun-26,uber-eats-18-jun-26,uber-18-jun-26,0,1,0,1462,gateway
openai/gpt-4o,woolworths-01-jun-25,woolworths-01-jun-25,prezzee-01-jan-23,0,1,0,1547,gateway
openai/gpt-4o,comfort-suites-03-aug-26,comfort-suites-03-aug-26,comfort-suites-25-may-26,0,1,1,1815,gateway
google/gemini-2.5-pro,github-21-jul-26,github-21-jul-26,github-21-jul-26,1,1,1,4008,gateway
google/gemini-2.5-pro,google-30-jun-26,google-30-jun-26,google-cloud-30-jun-26,0,1,0,4290,gateway
google/gemini-2.5-pro,huggingface-01-aug-26,huggingface-01-aug-26,hugging-face-01-aug-26,0,1,0,3845,gateway
google/gemini-2.5-pro,inngest-01-sep-26,inngest-01-sep-26,inngest-01-sep-26,1,1,1,3725,gateway
google/gemini-2.5-pro,linear-27-aug-26,linear-27-aug-26,linear-27-aug-26,1,1,1,3715,gateway
google/gemini-2.5-pro,neon-01-sep-26,neon-01-sep-26,neon-01-sep-26,1,1,1,3100,gateway
google/gemini-2.5-pro,vercel-04-aug-26,vercel-04-aug-26,vercel-04-aug-26,1,1,1,3592,gateway
google/gemini-2.5-pro,uber-eats-18-jun-26,uber-eats-18-jun-26,uber-18-jun-26,0,1,0,4381,gateway
google/gemini-2.5-pro,woolworths-01-jun-25,woolworths-01-jun-25,prezzee---,0,0,0,4788,gateway
google/gemini-2.5-pro,comfort-suites-03-aug-26,comfort-suites-03-aug-26,comfort-suites-18-jun-26,0,1,1,8091,gateway
gemini-2.5-flash (direct),github-21-jul-26,github-21-jul-26,github-21-jul-26,1,1,1,3370,gemini
gemini-2.5-flash (direct),google-30-jun-26,google-30-jun-26,google-cloud-30-jun-26,0,1,0,2640,gemini
gemini-2.5-flash (direct),huggingface-01-aug-26,huggingface-01-aug-26,huggingface-01-aug-26,1,1,1,2411,gemini
gemini-2.5-flash (direct),inngest-01-sep-26,inngest-01-sep-26,inngest-01-sep-26,1,1,1,2534,gemini
gemini-2.5-flash (direct),linear-27-aug-26,linear-27-aug-26,linear-orbit-27-aug-26,0,1,0,2433,gemini
gemini-2.5-flash (direct),neon-01-sep-26,neon-01-sep-26,neon-01-sep-26,1,1,1,3108,gemini
gemini-2.5-flash (direct),vercel-04-aug-26,vercel-04-aug-26,vercel-04-aug-26,1,1,1,2714,gemini
gemini-2.5-flash (direct),uber-eats-18-jun-26,uber-eats-18-jun-26,uber-18-jun-26,0,1,0,2646,gemini
gemini-2.5-flash (direct),woolworths-01-jun-25,woolworths-01-jun-25,prezzee---,0,0,0,4654,gemini
gemini-2.5-flash (direct),comfort-suites-03-aug-26,comfort-suites-03-aug-26,comfort-suites-03-aug-26,1,1,1,4589,gemini
meta/llama-4-scout,TOTAL,,,8,9,8,664,gateway
mistral/mistral-small,TOTAL,,,7,10,9,861,gateway
anthropic/claude-haiku-4.5,TOTAL,,,7,10,9,1230,gateway
llama3.2:latest,TOTAL,,,7,10,8,1214,local
openai/gpt-4o-mini,TOTAL,,,7,10,8,1742,gateway
spacexai/grok-4.1-fast-non-reasoning,TOTAL,,,7,9,8,857,gateway
gemma4:latest,TOTAL,,,7,9,8,2013,local
gemma2:9b,TOTAL,,,7,9,8,2348,local
google/gemini-2.5-flash,TOTAL,,,7,9,7,3076,gateway
google/gemini-2.5-flash-lite,TOTAL,,,6,10,7,1028,gateway
openai/gpt-4o,TOTAL,,,6,10,7,1385,gateway
alibaba/qwen3.5-flash,TOTAL,,,6,9,7,16340,gateway
mistral:latest,TOTAL,,,6,10,6,1837,local
gemini-2.5-flash (direct),TOTAL,,,6,9,6,3109,gemini
deepseek-coder:latest,TOTAL,,,5,10,7,641,local
LiquidAI/lfm2.5-1.2b-instruct:q4_k_m,TOTAL,,,5,10,6,171,local
google/gemini-2.5-pro,TOTAL,,,5,9,6,4353,gateway
LiquidAI/lfm2.5-350m:q4_k_m,TOTAL,,,0,4,0,221,local
